eventID,label
088482830170213,DOWN
088482830191489,DOWN
088482830212766,DOWN
088482830234043,UP
088482830255319,UP
088482830276596,UP
088482830297872,UP
088482830319149,UP
088482830340426,UP
088482830361702,UP
088482830382979,DOWN
088482830404255,DOWN
088482830425532,DOWN
088482830446809,DOWN
088482830468085,UP
088482830489362,UP
088482830510638,UP
088482830531915,UP
088482830553191,UP
088482830574468,UP
088482830595745,DOWN
088482830617021,DOWN
088482830638298,DOWN
088482830659574,DOWN
088482830680851,UP
088482830702128,UP
088482830723404,UP
088482830744681,UP
088482830765957,UP
088482830787234,UP
088482830808511,UP
088482830829787,DOWN
088482830851064,DOWN
08848283087234,DOWN
088482830893617,DOWN
088482830914894,DOWN
08848283093617,DOWN
088482830957447,DOWN
088482830978723,DOWN
0884828310,UP
0889253400,UP
088925340021277,UP
088925340042553,UP
08892534006383,UP
088925340085106,UP
088925340106383,UP
08892534012766,DOWN
088925340148936,DOWN
088925340170213,DOWN
088925340191489,DOWN
088925340212766,DOWN
088925340234043,DOWN
088925340255319,UP
088925340276596,UP
088925340297872,DOWN
088925340319149,DOWN
088925340340426,DOWN
088925340361702,DOWN
088925340382979,DOWN
088925340404255,DOWN
088925340425532,DOWN
088925340446809,DOWN
088925340468085,DOWN
088925340489362,DOWN
088925340510638,DOWN
088925340531915,DOWN
088925340553191,DOWN
088925340574468,DOWN
088925340595745,DOWN
088925340617021,DOWN
088925340638298,DOWN
088925340659574,DOWN
088925340680851,DOWN
088925340702128,DOWN
088925340723404,DOWN
088925340744681,DOWN
088925340765957,DOWN
088925340787234,DOWN
088925340808511,DOWN
088925340829787,DOWN
088925340851064,DOWN
08892534087234,DOWN
088925340893617,DOWN
088925340914894,DOWN
08892534093617,DOWN
088925340957447,DOWN
088925340978723,UP
0889253410,UP
0893677500,UP
089367750021277,UP
089367750042553,UP
08936775006383,UP
089367750085106,UP
089367750106383,UP
08936775012766,DOWN
089367750148936,DOWN
089367750170213,DOWN
089367750191489,DOWN
089367750212766,UP
089367750234043,UP
089367750255319,UP
089367750276596,UP
089367750297872,UP
089367750319149,UP
089367750340426,DOWN
089367750361702,DOWN
089367750382979,DOWN
089367750404255,DOWN
089367750425532,DOWN
089367750446809,DOWN
089367750468085,DOWN
089367750489362,DOWN
089367750510638,DOWN
089367750531915,DOWN
089367750553191,DOWN
089367750574468,DOWN
089367750595745,DOWN
089367750617021,DOWN
089367750638298,DOWN
089367750659574,DOWN
089367750680851,DOWN
089367750702128,DOWN
089367750723404,UP
089367750744681,UP
089367750765957,UP
089367750787234,UP
089367750808511,DOWN
089367750829787,UP
089367750851064,UP
08936775087234,UP
089367750893617,DOWN
089367750914894,DOWN
08936775093617,DOWN
089367750957447,DOWN
089367750978723,UP
0893677510,UP
0898102600,UP
089810260021277,UP
089810260042553,UP
08981026006383,UP
089810260085106,UP
089810260106383,UP
08981026012766,UP
089810260148936,UP
089810260170213,UP
089810260191489,DOWN
089810260212766,DOWN
089810260234043,DOWN
089810260255319,UP
089810260276596,UP
089810260297872,UP
089810260319149,UP
089810260340426,UP
089810260361702,UP
089810260382979,UP
089810260404255,DOWN
089810260425532,DOWN
089810260446809,DOWN
089810260468085,DOWN
089810260489362,DOWN
089810260510638,DOWN
089810260531915,DOWN
089810260553191,DOWN
089810260574468,DOWN
089810260595745,DOWN
089810260617021,DOWN
089810260638298,DOWN
089810260659574,DOWN
089810260680851,DOWN
089810260702128,DOWN
089810260723404,DOWN
089810260744681,DOWN
089810260765957,DOWN
089810260787234,DOWN
089810260808511,DOWN
089810260829787,DOWN
089810260851064,DOWN
08981026087234,DOWN
089810260893617,DOWN
089810260914894,DOWN
08981026093617,UP
089810260957447,UP
089810260978723,UP
0898102610,UP
0902526700,UP
090252670021277,UP
090252670042553,UP
09025267006383,UP
090252670085106,UP
090252670106383,UP
09025267012766,DOWN
090252670148936,DOWN
090252670170213,DOWN
090252670191489,DOWN
090252670212766,DOWN
090252670234043,DOWN
090252670255319,DOWN
090252670276596,DOWN
090252670297872,DOWN
090252670319149,UP
090252670340426,UP
090252670361702,UP
090252670382979,UP
090252670404255,UP
090252670425532,UP
090252670446809,UP
090252670468085,DOWN
090252670489362,DOWN
090252670510638,DOWN
090252670531915,DOWN
090252670553191,DOWN
090252670574468,DOWN
090252670595745,DOWN
090252670617021,DOWN
090252670638298,DOWN
090252670659574,DOWN
090252670680851,DOWN
090252670702128,DOWN
090252670723404,DOWN
090252670744681,UP
090252670765957,UP
090252670787234,UP
090252670808511,UP
090252670829787,UP
090252670851064,UP
09025267087234,UP
090252670893617,UP
090252670914894,DOWN
09025267093617,DOWN
090252670957447,DOWN
090252670978723,DOWN
0902526710,DOWN
0885049100,DOWN
088504910021277,DOWN
088504910042553,DOWN
08850491006383,DOWN
088504910085106,DOWN
088504910106383,DOWN
08850491012766,DOWN
088504910148936,DOWN
088504910170213,DOWN
088504910191489,DOWN
088504910212766,DOWN
088504910234043,DOWN
088504910255319,DOWN
088504910276596,DOWN
088504910297872,DOWN
088504910319149,DOWN
088504910340426,DOWN
088504910361702,DOWN
088504910382979,DOWN
088504910404255,DOWN
088504910425532,DOWN
088504910446809,DOWN
088504910468085,DOWN
088504910489362,DOWN
088504910510638,DOWN
088504910531915,DOWN
088504910553191,DOWN
088504910574468,DOWN
088504910595745,DOWN
088504910617021,DOWN
088504910638298,DOWN
088504910659574,DOWN
088504910680851,DOWN
088504910702128,DOWN
088504910723404,DOWN
088504910744681,UP
088504910765957,UP
088504910787234,UP
088504910808511,UP
088504910829787,UP
088504910851064,UP
08850491087234,UP
088504910893617,UP
088504910914894,UP
08850491093617,UP
088504910957447,UP
088504910978723,UP
0885049110,UP
0885094200,DOWN
088509420021277,DOWN
088509420042553,DOWN
08850942006383,DOWN
088509420085106,DOWN
088509420106383,DOWN
08850942012766,DOWN
088509420148936,DOWN
088509420170213,DOWN
088509420191489,DOWN
088509420212766,DOWN
088509420234043,DOWN
088509420255319,UP
088509420276596,UP
088509420297872,DOWN
088509420319149,UP
088509420340426,UP
088509420361702,UP
088509420382979,DOWN
088509420404255,DOWN
088509420425532,DOWN
088509420446809,DOWN
088509420468085,DOWN
088509420489362,DOWN
088509420510638,DOWN
088509420531915,DOWN
088509420553191,DOWN
088509420574468,DOWN
088509420595745,DOWN
088509420617021,DOWN
088509420638298,DOWN
088509420659574,DOWN
088509420680851,UP
088509420702128,UP
088509420723404,UP
088509420744681,UP
088509420765957,UP
088509420787234,DOWN
088509420808511,DOWN
088509420829787,DOWN
088509420851064,DOWN
08850942087234,DOWN
088509420893617,DOWN
088509420914894,DOWN
08850942093617,DOWN
088509420957447,DOWN
088509420978723,DOWN
0885094210,DOWN
0885138300,DOWN
088513830021277,DOWN
088513830042553,DOWN
08851383006383,DOWN
088513830085106,DOWN
088513830106383,DOWN
08851383012766,DOWN
088513830148936,DOWN
088513830170213,DOWN
088513830191489,DOWN
088513830212766,DOWN
088513830234043,DOWN
088513830255319,DOWN
088513830276596,UP
088513830297872,DOWN
088513830319149,DOWN
088513830340426,DOWN
088513830361702,DOWN
088513830382979,DOWN
088513830404255,DOWN
088513830425532,DOWN
088513830446809,DOWN
088513830468085,DOWN
088513830489362,DOWN
088513830510638,DOWN
088513830531915,DOWN
088513830553191,DOWN
088513830574468,DOWN
088513830595745,DOWN
088513830617021,DOWN
088513830638298,DOWN
088513830659574,DOWN
088513830680851,DOWN
088513830702128,DOWN
088513830723404,UP
088513830744681,UP
088513830765957,UP
088513830787234,DOWN
088513830808511,DOWN
088513830829787,DOWN
088513830851064,DOWN
08851383087234,DOWN
088513830893617,DOWN
088513830914894,DOWN
08851383093617,DOWN
088513830957447,DOWN
088513830978723,DOWN
0885138310,DOWN
0885182400,DOWN
088518240021277,DOWN
088518240042553,DOWN
08851824006383,DOWN
088518240085106,DOWN
